,n,noise_lvl,data_type,model,TRE,TRE_STD,TESTE,TESTE_STD,E_DIFF,model_param
283,10,0.1,moons,svm,0.85,0.09354143466934853,0.3,0.39999999999999997,0.55,1.0
284,10,0.1,moons,svm,1.0,0.0,0.3,0.39999999999999997,0.7,5.0
285,10,0.1,moons,svm,1.0,0.0,0.3,0.39999999999999997,0.7,10.0
286,10,0.1,moons,svm,1.0,0.0,0.3,0.39999999999999997,0.7,50.0
287,10,0.1,moons,svm,1.0,0.0,0.3,0.39999999999999997,0.7,1000.0
288,10,0.2,circles,logistic,0.6,0.09354143466934853,0.3,0.24494897427831783,0.3,0.001
289,10,0.2,circles,logistic,0.625,0.07905694150420949,0.3,0.24494897427831783,0.325,0.01
290,10,0.2,circles,logistic,0.6,0.09354143466934853,0.3,0.24494897427831783,0.3,0.1
291,10,0.2,circles,logistic,0.625,0.07905694150420949,0.3,0.24494897427831783,0.325,1.0
292,10,0.2,circles,logistic,0.65,0.09354143466934853,0.3,0.24494897427831783,0.35000000000000003,10.0
293,10,0.2,circles,logistic,0.65,0.09354143466934853,0.3,0.24494897427831783,0.35000000000000003,100.0
294,10,0.2,circles,logistic,0.65,0.09354143466934853,0.3,0.24494897427831783,0.35000000000000003,1000.0
295,10,0.2,circles,svm,0.6,0.09354143466934853,0.3,0.24494897427831783,0.3,0.001
296,10,0.2,circles,svm,0.6,0.09354143466934853,0.3,0.24494897427831783,0.3,0.005
297,10,0.2,circles,svm,0.6,0.09354143466934853,0.3,0.24494897427831783,0.3,0.01
298,10,0.2,circles,svm,0.6,0.09354143466934853,0.3,0.24494897427831783,0.3,0.05
299,10,0.2,circles,svm,0.6,0.09354143466934853,0.3,0.24494897427831783,0.3,0.1
300,10,0.2,circles,svm,0.625,0.07905694150420949,0.3,0.24494897427831783,0.325,0.5
301,10,0.2,circles,svm,0.7,0.1,0.1,0.2,0.6,1.0
302,10,0.2,circles,svm,0.975,0.05,0.2,0.4,0.7749999999999999,5.0
303,10,0.2,circles,svm,1.0,0.0,0.1,0.2,0.9,10.0
304,10,0.2,circles,svm,1.0,0.0,0.2,0.24494897427831783,0.8,50.0
305,10,0.2,circles,svm,1.0,0.0,0.2,0.24494897427831783,0.8,1000.0
306,10,0.2,moons,logistic,0.625,0.0,0.2,0.4,0.425,0.001
307,10,0.2,moons,logistic,0.6,0.05,0.2,0.4,0.39999999999999997,0.01
308,10,0.2,moons,logistic,0.6,0.05,0.2,0.4,0.39999999999999997,0.1
309,10,0.2,moons,logistic,0.825,0.12747548783981963,0.6,0.37416573867739417,0.22499999999999998,1.0
310,10,0.2,moons,logistic,0.8,0.1,0.6,0.37416573867739417,0.20000000000000007,10.0
311,10,0.2,moons,logistic,0.8,0.1,0.5,0.31622776601683794,0.30000000000000004,100.0
312,10,0.2,moons,logistic,0.8,0.1,0.5,0.31622776601683794,0.30000000000000004,1000.0
