,n,noise_lvl,data_type,model,TRE,TRE_STD,TESTE,TRE_VAR,TESTE_STD,TESTE_VAR,E_DIFF,model_param
194,5,0.5,circles,svm,0.475,0.11180339887498948,0.1,,0.447213595499958,,0.375,5.0
195,5,0.5,circles,svm,0.475,0.11180339887498948,0.1,,0.447213595499958,,0.375,10.0
196,5,0.5,circles,svm,0.5,0.0,0.1,,0.447213595499958,,0.4,50.0
197,5,0.5,circles,svm,0.5,0.0,0.0,,0.0,,0.5,1000.0
198,5,0.5,moons,logistic,0.375,0.0,0.2,0.0,0.5477225575051661,0.3,0.175,0.001
199,5,0.5,moons,logistic,0.35,0.11180339887498948,0.2,0.012499999999999999,0.5477225575051661,0.3,0.14999999999999997,0.01
200,5,0.5,moons,logistic,0.35,0.11180339887498948,0.2,0.012499999999999999,0.5477225575051661,0.3,0.14999999999999997,0.1
201,5,0.5,moons,logistic,0.375,0.0,0.2,0.0,0.5477225575051661,0.3,0.175,1.0
202,5,0.5,moons,logistic,0.425,0.13693063937629152,0.1,0.01875,0.447213595499958,0.20000000000000004,0.32499999999999996,10.0
203,5,0.5,moons,logistic,0.425,0.22360679774997896,0.2,0.049999999999999996,0.5477225575051661,0.3,0.22499999999999998,100.0
204,5,0.5,moons,logistic,0.425,0.22360679774997896,0.2,0.049999999999999996,0.5477225575051661,0.3,0.22499999999999998,1000.0
205,5,0.5,moons,svm,0.35,0.11180339887498948,0.2,,0.5477225575051661,,0.14999999999999997,0.001
206,5,0.5,moons,svm,0.35,0.11180339887498948,0.2,,0.5477225575051661,,0.14999999999999997,0.005
207,5,0.5,moons,svm,0.35,0.11180339887498948,0.2,,0.5477225575051661,,0.14999999999999997,0.01
208,5,0.5,moons,svm,0.35,0.11180339887498948,0.2,,0.5477225575051661,,0.14999999999999997,0.05
209,5,0.5,moons,svm,0.35,0.11180339887498948,0.2,,0.5477225575051661,,0.14999999999999997,0.1
210,5,0.5,moons,svm,0.4,0.11180339887498948,0.1,,0.447213595499958,,0.30000000000000004,0.5
211,5,0.5,moons,svm,0.425,0.13693063937629152,0.1,,0.447213595499958,,0.32499999999999996,1.0
212,5,0.5,moons,svm,0.475,0.11180339887498948,0.1,,0.447213595499958,,0.375,5.0
213,5,0.5,moons,svm,0.475,0.11180339887498948,0.1,,0.447213595499958,,0.375,10.0
214,5,0.5,moons,svm,0.5,0.0,0.1,,0.447213595499958,,0.4,50.0
215,5,0.5,moons,svm,0.5,0.0,0.2,,0.5477225575051661,,0.3,1000.0
216,10,0.0,circles,logistic,0.5555555555555555,0.0,0.0,0.0,0.0,0.0,0.5555555555555555,0.001
217,10,0.0,circles,logistic,0.5555555555555555,0.0,0.0,0.0,0.0,0.0,0.5555555555555555,0.01
218,10,0.0,circles,logistic,0.5555555555555555,0.0,0.0,0.0,0.0,0.0,0.5555555555555555,0.1
219,10,0.0,circles,logistic,0.5555555555555555,0.0,0.0,0.0,0.0,0.0,0.5555555555555555,1.0
220,10,0.0,circles,logistic,0.5555555555555555,0.0,0.0,0.0,0.0,0.0,0.5555555555555555,10.0
221,10,0.0,circles,logistic,0.5555555555555555,0.0,0.0,0.0,0.0,0.0,0.5555555555555555,100.0
222,10,0.0,circles,logistic,0.5555555555555555,0.0,0.0,0.0,0.0,0.0,0.5555555555555555,1000.0
223,10,0.0,circles,svm,0.5555555555555555,0.0,0.0,,0.0,,0.5555555555555555,0.001
224,10,0.0,circles,svm,0.5555555555555555,0.0,0.0,,0.0,,0.5555555555555555,0.005
225,10,0.0,circles,svm,0.5555555555555555,0.0,0.0,,0.0,,0.5555555555555555,0.01
226,10,0.0,circles,svm,0.5555555555555555,0.0,0.0,,0.0,,0.5555555555555555,0.05
227,10,0.0,circles,svm,0.5555555555555555,0.0,0.0,,0.0,,0.5555555555555555,0.1
228,10,0.0,circles,svm,0.5555555555555555,0.0,0.0,,0.0,,0.5555555555555555,0.5
229,10,0.0,circles,svm,0.5555555555555555,0.0,0.0,,0.0,,0.5555555555555555,1.0
230,10,0.0,circles,svm,0.5555555555555555,0.0,0.0,,0.0,,0.5555555555555555,5.0
231,10,0.0,circles,svm,0.5555555555555555,0.0,0.0,,0.0,,0.5555555555555555,10.0
232,10,0.0,circles,svm,1.0,0.0,0.0,,0.0,,1.0,50.0
233,10,0.0,circles,svm,1.0,0.0,0.0,,0.0,,1.0,1000.0
234,10,0.0,moons,logistic,0.5555555555555555,0.0,0.0,0.0,0.0,0.0,0.5555555555555555,0.001
235,10,0.0,moons,logistic,0.5555555555555555,0.0,0.0,0.0,0.0,0.0,0.5555555555555555,0.01
236,10,0.0,moons,logistic,0.7333333333333333,0.05737753105492472,0.2,0.0032921810699588507,0.42163702135578396,0.1777777777777778,0.5333333333333332,0.1
237,10,0.0,moons,logistic,0.7333333333333333,0.05737753105492472,0.6,0.0032921810699588507,0.5163977794943222,0.26666666666666666,0.1333333333333333,1.0
238,10,0.0,moons,logistic,0.7777777777777778,0.0,0.6,0.0,0.5163977794943222,0.26666666666666666,0.1777777777777778,10.0
239,10,0.0,moons,logistic,0.8,0.04684855792842041,0.8,0.0021947873799725627,0.4216370213557839,0.17777777777777778,0.0,100.0
240,10,0.0,moons,logistic,0.8,0.04684855792842041,0.8,0.0021947873799725627,0.4216370213557839,0.17777777777777778,0.0,1000.0
241,10,0.0,moons,svm,0.5555555555555555,0.0,0.0,,0.0,,0.5555555555555555,0.001
242,10,0.0,moons,svm,0.5555555555555555,0.0,0.0,,0.0,,0.5555555555555555,0.005
243,10,0.0,moons,svm,0.5555555555555555,0.0,0.0,,0.0,,0.5555555555555555,0.01
244,10,0.0,moons,svm,0.5777777777777777,0.04684855792842041,0.0,,0.0,,0.5777777777777777,0.05
245,10,0.0,moons,svm,0.6888888888888889,0.11475506210984938,0.0,,0.0,,0.6888888888888889,0.1
246,10,0.0,moons,svm,0.7777777777777779,0.07407407407407407,0.6,,0.5163977794943222,,0.17777777777777792,0.5
247,10,0.0,moons,svm,0.8666666666666668,0.04684855792842041,0.6,,0.5163977794943222,,0.26666666666666683,1.0
248,10,0.0,moons,svm,1.0,0.0,0.0,,0.0,,1.0,5.0
249,10,0.0,moons,svm,1.0,0.0,0.0,,0.0,,1.0,10.0
250,10,0.0,moons,svm,1.0,0.0,0.0,,0.0,,1.0,50.0
251,10,0.0,moons,svm,1.0,0.0,0.0,,0.0,,1.0,1000.0
252,10,0.1,circles,logistic,0.5555555555555555,0.0,0.0,0.0,0.0,0.0,0.5555555555555555,0.001
253,10,0.1,circles,logistic,0.5555555555555555,0.0,0.0,0.0,0.0,0.0,0.5555555555555555,0.01
254,10,0.1,circles,logistic,0.5555555555555555,0.0,0.0,0.0,0.0,0.0,0.5555555555555555,0.1
255,10,0.1,circles,logistic,0.5999999999999999,0.057377531054924664,0.0,0.003292181069958844,0.0,0.0,0.5999999999999999,1.0
256,10,0.1,circles,logistic,0.5222222222222223,0.053671765726627574,0.0,0.0028806584362139945,0.0,0.0,0.5222222222222223,10.0
257,10,0.1,circles,logistic,0.5333333333333333,0.04684855792842046,0.0,0.0021947873799725674,0.0,0.0,0.5333333333333333,100.0
258,10,0.1,circles,logistic,0.5333333333333333,0.04684855792842046,0.0,0.0021947873799725674,0.0,0.0,0.5333333333333333,1000.0
